name,id,nametype,recclass,mass,year,reclat,reclong
Caswell County,5296,Valid,OC,1360,1810-01-01T00:00:00.000,36.500000,-79.250000
Ceniceros,5306,Valid,L3.7,1025,1988-01-01T00:00:00.000,26.466670,-105.233330
Centerville,5307,Valid,H5,45.6,1956-01-01T00:00:00.000,43.200000,-96.916670
Cereseto,5308,Valid,H5,6460,1840-01-01T00:00:00.000,45.083330,8.300000
Chadong,5313,Valid,L6,3700,1998-01-01T00:00:00.000,28.533330,109.316670
Chail,5314,Valid,H6,0.5,1814-01-01T00:00:00.000,25.366670,81.666670
Chainpur,5315,Valid,LL3.4,8200,1907-01-01T00:00:00.000,25.850000,83.483330
Chajari,5316,Valid,L5,18300,1933-01-01T00:00:00.000,-30.783330,-58.050000
Chandakapur,5320,Valid,L5,8800,1838-01-01T00:00:00.000,20.266670,76.016670
Chandpur,5321,Valid,L6,1100,1885-01-01T00:00:00.000,27.283330,79.050000
Changde,5322,Valid,H5,1810,1977-01-01T00:00:00.000,29.083330,111.750000
Chantonnay,5325,Valid,L6,31500,1812-01-01T00:00:00.000,46.683330,1.050000
Charlotte,5328,Valid,"Iron, IVA",4300,1835-01-01T00:00:00.000,36.166670,-87.333330
Charsonville,5329,Valid,H6,27000,1810-01-01T00:00:00.000,47.933330,1.566670
Charwallas,5330,Valid,H6,12000,1834-01-01T00:00:00.000,29.483330,75.500000
Chassigny,5331,Valid,Martian (chassignite),4000,1815-01-01T00:00:00.000,47.716670,5.366670
Château-Renard,5332,Valid,L6,30000,1841-01-01T00:00:00.000,47.933330,2.916670
Chaves,5334,Valid,Howardite,2945,1925-01-01T00:00:00.000,41.933330,-7.466670
Chela,5338,Valid,H4,2936,1988-01-01T00:00:00.000,-3.666670,32.500000
Chelyabinsk,57165,Valid,LL5,100000,2013-01-01T00:00:00.000,54.816670,61.116670
Chergach ,47347,Valid,H5,100000,2007-01-01T00:00:00.000,23.696390,-5.014720
